,text,label
0,"This movie was much better than I expected. After a couple of films by Will Smith that weren't that great like I, Robot, he is back to being likable and fun in this one. Smith plays, Hitch, a date doctor. Most of the film centers around him teaching Albert how to be himself and get a date with Allegra Cole, a rich famous celebrity whom he works with. Albert is a klutz and goof and always tripping on his feet or what-not. All Hitch does is teach him how to act more cool and not be so nervous around Allegra.<br /><br />During all this, Hitch meets Sara, a gossip columnist whom has sworn off men. Hitch charms her, so of course, they go out. But, Hitch may teach other guys how to get the girl to fall for them, he doesn't believe in love himself. He has never really had a girl since he was dumped in college. But, he likes Sara, so keeps going after her. Sara's friend is hurt by guy whom she thinks went to the date doctor. So Sara tracks the doctor down, only to learn its Hitch. So of course, she thinks he's a pig. Then it's up to hitch to explain to Sara and Allegra what he does, so they both end up forgiving.<br /><br />FINAL VERDICT: Good, has some laughs, and is entertaining. I recommend it.",1
1,"Let's see...I'm trying to practice finding the positive in everything, so what kind thing can I say about the Pallbearer?<br /><br />I know! The performances were -- no, that won't work as they succeeded in draining all personality from Gwyneth Paltrow, usually so vibrant, and ended up creating caricatures out of Carol Kane and Barbara Hershey...<br /><br />Oh - how 'bout the story -- nope. That isn't gonna fly either, as it was doze-inducing. What was the genre anyway? It wasn't funny, that rules out comedy. It wasn't interesting enough to be dramatic. Was that a romance between Schwimmer and Paltrow? I have to ask, as I can't be sure - let's just call it ""losers in like."" I'm sure those behind this film started with a vision, I mean, they must have had one to pitch to the studio suits, but I need help finding it.<br /><br />Even if I were a patient person who could forgive the pure stupidity of the story, I couldn't in good conscience recommend a film that allows a guy to go into a professional job interview in a windbreaker and messy, fluffy, stupid hair. Speaking of hair -- are we supposed to be amused by the deliberate black roots and platinum locks worn by Hershey?<br /><br />What am I doing? I already lost 97 irretrievable minutes in the actual watching of the movie -- I cannot devote any more time to this loser.",0
2,"The premise may seem goofy, but since Murphy's character doesn't take it seriously, it helps ease the audience into this mix of mysticism and modern-day hard-boiled child abduction. Excellent cast, particularly Charles Dance and Charlotte Lewis, and Murphy is at the height of his 80's peak in comedy/action. There's also some great F/X, a very surreal dream sequence, and a fairly original plot. Often overlooked in the pantheon of Murphy flicks, but this one is worth a look.",1
3,"I wanted to like this film, yes its a SAW, blah blah blah ripoff but I like those films. If done well this had all the ingredients of being a good, not brilliant, but good film....unfortunately those ingredients had gone off! The acting was terrible, and this was first seen when the captives are introduced with their captor one by one (hoods taken off), the remarks and one liners are just terrible, yes I know, bad writing....but this is more than that, it was bad writing coupled with bad acting. Two of the captives had been in a relationship with each other and did not even acknowledge this until a lot further into the film.....<br /><br />Sorry, Im even wondering why I am bothering to review this movie at all.<br /><br />I will end with PLOT HOLES, PLOT HOLES & MORE PLOT HOLES! DISAPPOINTING!",0
4,"2003 was seen as the year of the Matrix, with the release of two sequels and a computer game that actually linked to the plot of the film. Also released was a DVD of 9 short animated films, most written and made in Japan and made as Anime. Japan makes some of the best animation in the world. Sadly most of these shorts are disappointing. The best of them is the first part of a prequel to the first Matrix film.<br /><br />The Second Renaissance is made as a historical file. It tells how humans made machines in their own likeness. Humans live the high life whilst machines are the grunts, the workers of society, second class citizens. In the year 2090, a machine, BI-66ER was put of trial for murder, after killing his owners who wanted to deactivate him. The machine does not have a fair trial and riots start around the world. The governments of the world order to dismantle machines. Many machines leave human society and form their own country in the Middle East, O1. 01 has a productive economy and easily undercut the human nations, forcing them into economic crisis. The human blockade 01 and reject the machines requests for peace, thereby it was the humans who were responsible for the war that enslaves them.<br /><br />The Second Renaissance is a interesting watch, with excellent, traditional animation style and sets a compelling world. It shows how the machines were mistreated and that humanity sowed the seeds of their own destruction. There is a political and social world and the short tells a lot in it short running time. The short shares themes and a style to the classic silent film Metropolis, partly the beginning with the underworld. They are the themes of slavery, the mistreatment of the working class and racism. The short also has some religious themes and religious iconography. Mainly that men saw themselves as God and created the machines in their own likeness. Seeing themselves as the rightful masters of the machines. The machines too use religious iconography, mainly forming their nation in 'cradle of human civilisation' and the machines coming to the United Nations dressed as Adam and Eve, offering an apple.<br /><br />The animation style is beautiful, done in the traditional anime style (like Akira). The set designs are great, combine futuristic with historic cities, e.g. Washington D.C.. There is well down future scene, and surprising violence, which is key to the film. The director, Mahiro Maeda, also directed the anime sequence in Kill Bill Vol. 1, so has good credentials to Hollywood. He is willing to use violence and know how to keep a story going.<br /><br />The only real complain is a continuity error to the first Matrix film because Morpheus mentions that the humans have no historical records or know who started the war. But its a good watch.",1
5,"I'm doing a thesis on blurring the boundaries: the female cross dresser and am using Tipping the Velvet the book as my main text, any comments on gender and sexual identity, gender and sexual confusion, gender as a performance, gender as a fiction, gender imagery, cross-dressing as an erotic fantasy and as revolution, the effect of the male costume etc etc would be much appreciated! But a bit off the point has anyone seen Sergio Toledo's 1987 film Vera? Its about a young lesbian possibly transsexual cross dresser..I'm dying to see it because I think it'd be really helpful...Does anyone know where I might get a copy of it? I've tried amazon and a few other sites but no luck...",1
6,"I have a friend that works at blockbuster, and he gets 5 free movie rentals a week, so one day as we were scouring the aisles for something interesting, i stumbled across 18 Weapons of Kung Fu, and judging by the box alone, this movie seemed pretty wack, but nonetheless we gave into temptation and rented it -- afterall, it was free.....and thank god it was....this is by far THE WORST movie i have ever seen....the budget must have been a pickle and a piece of string...the plot was ridiculous, the only mention of the ""18 weapons"" is that there is some book that teaches the ways of the 18 weapons that some bad guy is after -- and thats it! there isnt even any weapon fighting in this movie...that and the action sequences are just flat-out BAD....9 times out of 10 the other guy's punches and kicks come about a foot away from landing on the other guy's, and there are MANY times when the the movie will skip frames (a result of ridiculously poor editing)....the dubbing is as well laughable, and it is hardly even understandable....and we wont even get into the acting...the ending will definitely leave you saying ""wtf??"", however to be fair i must mention that the fighting techniques used by the actors were somewhat decent, and the old guy is a mad chump....but thats about it...thankfully i didnt have to pay for this movie, but i guess at least now i know exactly how bad a movie can actually be....",0
7,"I was first introduced to John Waters films by seeing ""Female trouble"" on IFC. I was disgusted but for some sick reason i enjoyed it. Then, i picked up the Pink Flamingos DVD in the John Waters Boxed Set. The movie is about Babs Johnson ""The Filthiest Person Alive"" who lives in a trailer in Maryland with her obese egg obsessed mother,and her deranged son ""Crackers"". In the movie you will see such sick sights as sex with chickens, drag-queens, people eating feces, torture, and all other sorts of random humiliation. The film has a soundtrack from 60's rock and roll artists. The only problem is that some parts of the film seem to drag on and can get a little boring. I found ""Female Trouble"" a little more fun. Rated NC-17 for Explicit sex, violence, and disturbing images. Enjoy.",1
8,"Heavy-handed moralism. Writers using characters as mouthpieces to speak for themselves. Predictable, plodding plot points (say that five times fast). A child's imitation of Britney Spears. This film has all the earmarks of a Lifetime Special reject.<br /><br />I honestly believe that Jesus Nebot and Julia Montejo set out to create a thought-provoking, emotional film on a tough subject, exploring the idea that things are not always black and white, that one who is a criminal by definition is not necessarily a bad human being, and that there can be extenuating circumstances, especially when one puts the well-being of a child first. However, their earnestness ends up being channeled into preachy dialogue and trite situations planted to move the plot along. The decent production values and interesting use of documentary-style camera footage are not enough to accomplish their aim when the script and the acting fall flat.<br /><br />Logic is often compromised for the sake of creating tension: Soid first tries to blackmail Pablo into participating in her documentary in exchange for helping them escape, then in the same breath basically tells him not to trust her because she's not helping them out of altruism. Well, duh. And for a man on the run, Pablo is far too swayed by a temper tantrum. Cristina's well-being is so important to him that he's fleeing capture and jail or deportation for her, but he's willing to risk all that to appease her when she doesn't want to go to Mexico. Right. Talk above over-permissive parenting. Third, when Pablo's employer Charlie gives the phone to Detective Bright, she is remarkably unprofessional, especially given her seniority - did she really think she was persuasive? Oh, yeah, I would have turned myself in. CCH Pounder's Detective Wims could wipe the floor with her.<br /><br />To be fair, I'd like to list the things I liked. Um, I liked the midget. And I liked the fact that the midget was named Sexy. There's cross-dressing, always a plus; juvenile cross-dressing, no less! Harry is infinitely cuter than Cristina. But my favorite moment in the film has to be when Cristina kicks Detective Not-So-Bright. I also find it interesting that, in a heavily minority cast (which I much appreciate, by the way), the black character is the racist one. Too bad it's just thrown out there and not further explored.<br /><br />There's a distinctive, unconventional score, but it's nonetheless generally context-unspecific, not enhancing mood or tension in any scene, except the pathetic, anguished wailing every time the main character is in anguish, as though they think his acting doesn't show it enough: 'Just in case you weren't sure, he's upset, and we have the musical cues to prove it.'<br /><br />Stilted, clichéd dialogue results in a depressing lack of subtext; everything has to be spelled out in dialogue, even when the body language had been up 'til then conveying it just fine. For example, every impassioned speech Pablo makes, and Mrs. Knight's lament that her child won't be crawling into bed with them in the morning.<br /><br />'Papi, tell me about Mama again' - what shameless, blatant exposition introducing the generic dead wife! (She's always the most beautiful woman the widower had ever seen, the kindest he had ever met. Why can't we see a man cry over a woman like Shakespeare's - she may be fat, ugly, obnoxious, but his love for her is deep as oceans? Now _there's_ a story which would move me.)<br /><br />The police always being literally one step behind them gives many scenes the out-of-place feeling of a French farce. Most boring foot chases ever - Bright and Lightning are so out-of-shape and easily-fooled (he certainly isn't quick as lightning, and she, well, I don't feel the need to spell things out). Some guy dragging along a small child outrunning a bicycle cop, complete with macho biker picking a fight but then being felled by a child? To quote Margaret Cho, that's so sad. Would we ever see this on 'Cops '?<br /><br />Hackneyed and over-the-top deus ex machina: as an employer, would you really waive checking his green card just because he can quote the author of the inspirational saying on a poster behind your desk?<br /><br />Plus several scenes, including the above, threaten to devolve into porn: 'Well, I'll do this favor for you, as long as you do something for me...' I can almost hear the bowm-chicka-bowm-bowm.<br /><br />When the parents view the footage shot of Pablo's remorse, the grieving mom's freak-out is the most real the movie feels. Unfortunately, this is diminished by the fact that she looks completely swayed by his emotional speech right up until she goes ballistic. A more ambivalent look would be more convincing here.<br /><br />I'm in constant awe of the stupidity of the main character doing things for the sake of plot: holding up a convenience store without a mask, visiting the dead girl's grave. And why doesn't the mother recognize his face from when she saw him before he drove off?! 'You seem awfully familiar...'<br /><br />What is the purpose of that wholly unnecessary, somewhat gratuitous scene with Soid and the artificially-enhanced bartender? Character development? Tch. Too little, too late.<br /><br />Speaking of unnecessary traits that never went anywhere, Detective Lightning's saying skeptical Detective Bright must be a Scorpio shows how little he really knows about the occult. And I don't think that believing in fate quite qualifies as voodoo mumbo jumbo.<br /><br />At the end, when Bright holds Pablo as he dies - wait, why does she care now? Her character is as inconsistent as Soid's. What, she has to shoot him just because she said 'Stop, or I'll shoot'? (She's cared _so_much_ about her integrity thus far.) He was unarmed. There was no need for lethal force. What's wrong with shooting him in the leg to immobilize him?<br /><br />Finally, Cristina's childlike acceptance of her mother's death giving Dr. Knight peace over his daughter's death - so forced. And the contrivance of the family whose child was killed becoming Cristina's new family... It angers me that she could be a 'replacement' for their little girl. It's also unrealistic that a white couple would take in the Latino daughter of the man who killed their own daughter. I'm not saying there aren't generous, loving people who would do that. I'm just saying that the characters here are never developed far enough for me to believe that _they_ would do that.<br /><br />I find it offensive that another IMDb reviewer said that of course as a woman she was moved by the sappy scenes. I am a woman who reserves my emotional movements for moments that don't wax sentimental in a manufactured manner.<br /><br />Co-writer, co-director, co-star Nebot said himself he wore too many hats during this production. Too many cooks may spoil the broth, but one cook alone just might end up making an after-school special.<br /><br />In conclusion, this film's title has less to do with the story and more to do with the feeling of regret, helplessness, and loss accompanying the revelation that you will never see your money again.",0
9,"In Iran, women are officially banned from men's sporting events. In June 2005, the Iran's national soccer team has an important game against Bahrain in the Azadi Stadium for the qualification of the World Cup. A group of Iranian girls and lovers of soccer dresses like boys and unsuccessfully attempts to enter in the stadium being arrested.<br /><br />Soccer (and Flamengo's team), beach and movies are my greatest passions; therefore I loved this little gem about a group of girls and their passion for soccer. The director Jafar Panahi, from ""The White Balloon"", ""The Mirror"" and ""The Circle"", shot this movie on the day that Iran defeated Bahrain and qualified to the World Cup in Germany. The dramatic and funny adventure of these Iranian girls is one of the most delightful movies I have ever seen. My vote is nine.<br /><br />Title (Brazil): Not Available",1
